title,neighborhoods,price,num_bedrooms,num_bathrooms,url,lat,lon,city,time_posted,alerted,priority_alerted,source,bike_time_minutes,bike_station,bart_bike_time_minutes,bart_station
"Charming 2 bedroom, 2 bathroom apartment",Mission,1500,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-charming-bedroom-bathroom/7933747734.html,37.7675346477652,-122.419146842558,San Francisco,2026-05-11T23:40:04.941202-07:00,False,,craigslist,10.0,4th & King,2.0,16th St Mission
Renovated Victorian 1BR in Laurel Heights–Jordan Park,,1487,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-renovated-victorian-1br/7933745256.html,37.7821954918262,-122.453270489961,San Francisco,2026-05-11T23:00:04.846916-07:00,False,,craigslist,,,,
"EV Charging, Great Location, Pets Welcome, Washer and Dryer",,4379,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-ev-charging-great/7933743975.html,37.7752730157458,-122.415909631016,San Francisco,2026-05-11T22:40:05.095328-07:00,False,,craigslist,,,,
"Charming 2 bedroom, 2 bathroom apartment",,1500,2,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-charming-bedroom-bathroom/7933744344.html,37.7724999000175,-122.414693814574,San Francisco,2026-05-11T22:40:05.094737-07:00,False,,craigslist,,,,
"🤍🌸Nice home with 2 bed, 1 bath 💖🌟",,900,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-nice-home-with-bed-bath/7933744953.html,37.7295572862326,-122.413150266274,San Francisco,2026-05-11T22:40:05.093445-07:00,False,,craigslist,,,,
**-## Stylish 2BR Apartment in Prime San Francisco Location 🏡,,1560,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-stylish-2br-apartment-in/7933743775.html,37.7955282197182,-122.425062058835,San Francisco,2026-05-11T22:20:05.334469-07:00,False,,craigslist,,,,
"🤍🌸Nice home with 2 bed, 1 bath 💖🌟",,900,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-nice-home-with-bed-bath/7933741905.html,37.7295572862326,-122.413150266274,San Francisco,2026-05-11T22:00:05.661306-07:00,False,,craigslist,,,,
"$$ Charming and well-maintained 2-bedroom, 1-bath home $$",Glen Park/Excelsior,1350,2,1.0,https://sfbay.craigslist.org/sby/apa/d/san-francisco-charming-and-well/7933739952.html,37.723988709422,-122.440771415661,San Francisco,2026-05-11T21:40:05.083500-07:00,False,,craigslist,24.0,22nd St,6.0,Glen Park
Nice and cozy 2 bedrooms In-Law in outer mission,Glen Park/Excelsior,2300,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-nice-and-cozy-bedrooms-in/7933740477.html,37.7195013039708,-122.441099147519,San Francisco,2026-05-11T21:40:05.082829-07:00,False,,craigslist,25.0,22nd St,7.0,Glen Park
Marina 2 Bed Apartment with Private Patio and Rooftop Deck,,1600,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-marina-bed-apartment-with/7933740961.html,37.8010091339861,-122.426851406029,San Francisco,2026-05-11T21:40:05.081881-07:00,False,,craigslist,,,,
